Date, PM2.5, PM10, NO2
2021-01-25,152,74,17
2021-01-26,139,61,12
2021-01-27,111,65,15
2021-01-28,119,50,7
2021-01-29,81,56,9
2021-01-30,107,57,12
2021-01-31,113,61,14
2021-02-01,113,53,9
2021-02-02,88,55,7
2021-02-03,104,54,11
2021-02-04,96,53,13
2021-02-05,94,61,15
2021-02-06,104,56,11
2021-02-07,105,68,15
2021-02-08,127,45,10
2021-02-09,83,31,10
2021-02-10,60,46,14
2021-02-11,89,53,12
2021-02-12,104,56,14
2021-02-13,113,59,13
2021-02-14,119,62,16
2021-02-15,125,73,14
2021-02-16,145,70,11
2021-02-17,141,50,6
2021-02-18,94,47,8
2021-02-19,92,48,10
2021-02-20,93,66,17
2021-02-21,127,78,22
2021-02-22,141,75,19
2021-02-23,145,75,17
2021-02-24,154,68,15
2021-02-25,150,66,16
2021-02-26,142,64,6
2021-02-27,154, , 
2021-03-01,132,60,10
2021-03-02,111,48,8
2021-03-03,97,36,7
2021-03-04,73,50,13
2021-03-05,92,50,10
